Label,Category,X,Y,Width,Height,Area
E1,Entry,23,323,90,68,4052.0
A1,Accessible,322,362,118,59,3664.5
R1,Reservation,216,591,48,42,1150.0
P1,Regular,182,18,198,110,12086.5
P2,Regular,53,61,80,268,9654.0
P3,Regular,154,103,195,112,11825.0
P4,Regular,133,195,196,110,11665.0
P5,Regular,139,290,166,95,9352.0
P6,Regular,99,375,221,109,13219.0
P7,Regular,23,389,57,165,4323.5
P8,Regular,333,433,132,88,6977.5
P9,Regular,91,457,485,192,32437.5
P10,Regular,49,549,98,53,3021.5
P11,Regular,147,570,61,45,1661.0
P12,Regular,566,594,79,106,2958.0
P13,Regular,405,639,11,26,84.0
