label,id,x,y,width,height,area
P1,1,104,59,151,118,17818
P2,2,255,59,151,118,17818
P3,3,406,59,151,118,17818
P4,4,557,59,151,118,17818
P5,5,708,59,151,118,17818
P6,6,859,59,151,118,17818
P7,7,104,177,151,118,17818
P8,8,255,177,151,118,17818
P9,9,406,177,151,118,17818
P10,10,557,177,151,118,17818
P11,11,708,177,151,118,17818
P12,12,859,177,151,118,17818
P13,13,104,295,151,118,17818
P14,14,255,295,151,118,17818
P15,15,406,295,151,118,17818
P16,16,557,295,151,118,17818
P17,17,708,295,151,118,17818
P18,18,859,295,151,118,17818
P19,19,104,413,151,118,17818
P20,20,255,413,151,118,17818
P21,21,406,413,151,118,17818
P22,22,557,413,151,118,17818
P23,23,708,413,151,118,17818
P24,24,859,413,151,118,17818
