label,type,id,x,y,width,height,area
P1,Regular,240,65,4,15,12,63.5
P2,Regular,239,491,23,21,26,238.5
P3,Regular,238,478,31,22,28,259.5
P4,Regular,237,462,41,24,29,291.5
P5,Regular,236,448,50,23,28,289.0
P6,Regular,235,434,61,22,27,283.5
P7,Regular,234,419,71,22,27,278.0
P8,Regular,233,404,79,23,28,282.5
P9,Regular,232,601,88,30,22,297.5
P10,Regular,231,389,91,22,26,266.0
P11,Regular,230,373,100,25,26,293.0
P12,Regular,229,571,103,29,22,259.0
P13,Regular,228,608,103,30,23,356.5
P14,Regular,227,358,109,25,28,300.0
P15,Regular,226,577,117,32,25,357.5
P16,Regular,225,616,117,30,25,339.5
P17,Regular,224,343,120,25,26,288.0
P18,Regular,223,328,129,25,25,257.5
P19,Regular,222,507,130,30,23,321.0
P20,Regular,221,586,134,30,23,325.0
P21,Regular,220,623,134,33,24,413.5
P22,Regular,219,314,138,25,27,298.5
P23,Regular,218,514,145,31,24,345.0
P24,Regular,217,477,147,29,23,267.0
P25,Regular,216,299,148,25,26,268.0
P26,Regular,215,592,148,32,25,396.5
P27,Regular,214,631,150,32,24,356.5
P28,Regular,213,284,156,26,28,320.0
P29,Regular,212,484,160,30,24,361.5
P30,Regular,211,521,162,31,24,355.0
P31,Regular,210,600,165,32,24,355.0
P32,Regular,209,638,165,34,24,401.0
P33,Regular,208,269,166,25,29,315.0
P34,Regular,207,491,176,31,23,344.5
P35,Regular,206,528,177,33,25,401.0
P36,Regular,205,253,178,26,26,317.5
P37,Regular,204,606,180,33,25,393.5
P38,Regular,203,645,180,34,25,400.5
P39,Regular,202,406,182,29,23,300.0
P40,Regular,201,498,192,32,24,367.5
P41,Regular,200,536,194,33,23,352.0
P42,Regular,199,614,196,33,24,389.5
P43,Regular,198,653,196,33,25,415.5
P44,Regular,197,375,198,30,23,282.0
P45,Regular,196,412,198,30,23,335.5
P46,Regular,195,544,208,33,25,384.5
P47,Regular,194,507,209,30,22,325.0
P48,Regular,193,621,211,34,26,436.0
P49,Regular,192,420,212,31,25,353.5
P50,Regular,191,381,213,32,23,344.5
P51,Regular,190,662,213,32,25,378.5
P52,Regular,189,551,223,33,25,384.0
P53,Regular,188,514,224,31,23,368.0
P54,Regular,187,427,228,33,26,399.5
P55,Regular,186,390,229,30,24,336.5
P56,Regular,185,630,229,32,24,388.5
P57,Regular,184,670,229,32,24,365.0
P58,Regular,183,311,231,30,21,288.0
P59,Regular,182,161,236,21,29,313.5
P60,Regular,181,559,238,34,27,441.5
P61,Regular,180,521,240,32,23,349.5
P62,Regular,179,396,244,32,25,375.5
P63,Regular,178,678,245,32,24,356.0
P64,Regular,177,318,246,31,22,342.0
P65,Regular,176,435,246,32,23,318.0
P66,Regular,175,638,246,32,22,356.5
P67,Regular,174,149,247,19,26,229.5
P68,Regular,173,282,247,28,20,258.5
P69,Regular,172,528,255,33,26,424.5
P70,Regular,171,132,256,22,27,286.5
P71,Regular,170,567,256,34,26,428.5
P72,Regular,169,442,260,34,25,384.0
P73,Regular,168,288,261,30,24,346.0
P74,Regular,167,326,261,30,23,335.0
P75,Regular,166,405,261,31,22,313.0
P76,Regular,165,645,261,33,24,360.0
P77,Regular,164,685,262,32,22,334.0
P78,Regular,163,116,265,23,30,338.5
P79,Regular,162,536,271,33,26,405.0
P80,Regular,161,575,272,34,26,410.5
P81,Regular,160,103,275,21,29,301.0
P82,Regular,159,411,275,32,25,374.5
P83,Regular,158,450,275,33,25,393.5
P84,Regular,157,294,276,32,24,347.0
P85,Regular,156,653,276,33,24,353.5
P86,Regular,155,333,277,33,25,401.0
P87,Regular,154,89,284,23,29,345.5
P88,Regular,153,543,288,33,25,412.0
P89,Regular,152,582,288,34,25,401.0
P90,Regular,151,418,291,33,24,386.5
P91,Regular,150,457,291,35,26,452.5
P92,Regular,149,217,292,29,23,289.5
P93,Regular,148,73,293,24,30,385.5
P94,Regular,147,303,293,32,23,371.5
P95,Regular,146,342,293,30,23,305.5
P96,Regular,145,56,303,26,31,449.5
P97,Regular,144,551,303,33,25,394.0
P98,Regular,143,592,303,31,25,329.5
P99,Regular,142,426,306,34,27,448.0
P100,Regular,141,223,307,31,23,348.0
P101,Regular,140,349,308,31,25,341.5
P102,Regular,139,465,308,34,25,409.5
P103,Regular,138,186,309,29,22,277.5
P104,Regular,137,310,309,31,23,324.0
P105,Regular,136,43,314,21,28,279.0
P106,Regular,135,558,319,32,23,354.0
P107,Regular,134,28,322,24,31,404.5
P108,Regular,133,193,323,30,23,335.5
P109,Regular,132,231,323,31,23,319.0
P110,Regular,131,317,323,32,23,355.5
P111,Regular,130,355,323,32,25,335.5
P112,Regular,129,434,324,33,24,407.0
P113,Regular,128,473,324,35,25,399.0
P114,Regular,127,324,338,33,25,361.0
P115,Regular,126,363,339,33,25,414.5
P116,Regular,125,201,340,29,22,305.5
P117,Regular,124,239,340,32,23,377.0
P118,Regular,123,442,340,33,24,383.0
P119,Regular,122,481,341,33,23,372.0
P120,Regular,121,208,355,31,24,352.0
P121,Regular,120,332,355,33,24,424.5
P122,Regular,119,247,356,30,23,302.0
P123,Regular,118,450,356,32,23,370.5
P124,Regular,117,371,357,33,24,376.5
P125,Regular,116,489,357,32,22,308.5
P126,Regular,115,133,361,32,24,376.0
P127,Regular,114,215,371,30,22,299.5
P128,Regular,113,254,371,31,23,335.5
P129,Regular,112,340,371,33,25,369.0
P130,Regular,111,457,371,33,24,363.5
P131,Regular,110,380,373,32,25,373.5
P132,Regular,109,140,376,32,26,426.0
P133,Regular,108,102,377,32,24,355.0
P134,Regular,107,262,387,30,23,322.5
P135,Regular,106,223,388,30,21,328.0
P136,Regular,105,348,388,32,23,353.5
P137,Regular,104,387,388,33,24,370.0
P138,Regular,103,109,392,32,25,417.0
P139,Regular,102,147,392,34,25,413.0
P140,Regular,101,230,402,31,23,331.0
P141,Regular,100,269,403,33,24,399.5
P142,Regular,99,355,403,32,24,361.5
P143,Regular,98,394,404,32,23,334.0
P144,Regular,97,155,407,34,27,473.5
P145,Regular,96,117,408,32,25,400.5
P146,Regular,95,238,418,31,24,407.0
P147,Regular,94,278,419,32,25,372.5
P148,Regular,93,364,420,29,23,319.5
P149,Regular,92,125,423,32,27,440.5
P150,Regular,91,163,425,33,24,385.5
P151,Regular,90,246,434,31,25,380.5
P152,Regular,89,285,435,33,24,348.5
P153,Regular,88,170,439,34,26,427.0
P154,Regular,87,132,440,32,25,371.0
P155,Regular,86,293,451,33,23,361.0
P156,Regular,85,253,452,31,22,333.0
P157,Regular,84,139,455,33,25,409.5
P158,Regular,83,178,455,33,26,419.5
P159,Regular,82,262,467,30,22,330.5
P160,Regular,81,300,467,32,22,332.5
P161,Regular,80,185,470,35,28,484.0
P162,Regular,79,147,471,32,25,392.0
P163,Regular,78,308,481,32,24,355.5
P164,Regular,77,269,483,29,22,316.5
P165,Regular,76,154,486,34,27,449.5
P166,Regular,75,194,487,34,27,452.5
P167,Regular,74,316,495,29,24,340.0
P168,Regular,73,277,497,31,22,305.5
P169,Regular,72,163,504,33,25,421.0
P170,Regular,71,201,504,35,26,419.0
P171,Regular,70,285,512,33,23,345.5
P172,Regular,69,171,520,32,25,406.0
P173,Regular,68,209,520,34,25,420.5
P174,Regular,67,217,535,32,23,332.0
P175,Regular,66,178,536,32,24,391.0
P176,Regular,65,349,548,30,22,294.0
P177,Regular,64,225,550,32,22,325.0
P178,Regular,63,185,551,32,25,362.0
P179,Regular,62,319,562,31,24,334.5
P180,Regular,61,357,562,30,25,344.5
P181,Regular,60,232,563,33,26,415.0
P182,Regular,59,195,566,31,21,313.5
P183,Regular,58,326,577,32,24,388.0
P184,Regular,57,201,579,33,24,412.5
P185,Regular,56,240,579,32,24,392.0
P186,Regular,55,364,579,30,23,346.5
P187,Regular,54,247,594,34,27,447.5
P188,Regular,53,334,594,30,24,361.5
P189,Regular,52,371,594,32,25,402.0
P190,Regular,51,209,595,32,24,389.0
P191,Regular,50,341,609,32,24,396.0
P192,Regular,49,217,610,32,25,418.0
P193,Regular,48,255,611,34,24,383.0
P194,Regular,47,379,611,31,23,347.0
P195,Regular,46,350,626,30,22,345.5
P196,Regular,45,386,626,31,24,378.0
P197,Regular,44,224,627,33,23,372.5
P198,Regular,43,263,627,32,24,403.5
P199,Regular,42,358,641,29,23,363.5
P200,Regular,41,232,642,32,24,397.0
P201,Regular,40,271,642,33,24,394.5
P202,Regular,39,394,643,31,22,355.5
P203,Regular,38,364,655,31,24,361.0
P204,Regular,37,278,656,34,28,473.0
P205,Regular,36,239,658,33,23,384.0
P206,Regular,35,247,672,33,27,438.0
P207,Regular,34,286,675,34,25,426.0
P208,Regular,33,255,690,32,25,402.5
P209,Regular,32,294,691,34,25,409.5
P210,Regular,31,263,707,32,24,374.5
P211,Regular,30,302,707,33,24,392.5
P212,Regular,29,271,722,31,24,368.0
P213,Regular,28,309,722,33,24,364.0
P214,Regular,27,317,737,32,23,362.0
P215,Regular,26,280,738,30,23,335.0
P216,Regular,25,486,744,25,27,268.0
P217,Regular,24,324,752,33,25,398.0
P218,Regular,23,288,754,30,22,305.5
P219,Regular,22,295,767,31,25,365.5
P220,Regular,21,332,768,32,25,376.5
P221,Regular,20,340,783,33,26,431.0
P222,Regular,19,302,784,31,23,328.0
P223,Regular,18,311,799,30,24,359.0
P224,Regular,16,348,800,32,25,356.5
P225,Regular,17,549,800,47,26,337.5
P226,Regular,15,318,816,30,22,302.5
P227,Regular,14,355,816,32,23,369.5
P228,Regular,13,326,831,29,22,323.5
P229,Regular,12,363,831,32,24,377.0
P230,Regular,11,334,847,28,22,321.5
P231,Regular,10,371,847,33,26,458.5
P232,Regular,9,341,862,30,24,376.5
P233,Regular,8,293,912,154,75,4654.0
P234,Regular,7,422,918,19,26,264.0
P235,Regular,6,407,925,20,26,300.5
P236,Regular,5,391,932,19,26,269.5
P237,Regular,4,301,940,28,26,454.0
P238,Regular,3,376,941,19,23,223.5
P239,Regular,2,361,948,19,23,240.0
P240,Regular,1,344,955,20,25,268.0
E1,Entry,1,176,176,63,69,2517.0
R1,Reservation,29,7,368,77,111,3885.0
R2,Reservation,28,10,372,33,24,400.5
R3,Reservation,27,18,388,31,23,348.0
R4,Reservation,26,25,401,32,26,457.0
R5,Reservation,25,32,418,33,27,493.5
R6,Reservation,24,41,435,32,25,371.0
R7,Reservation,23,48,451,33,23,358.5
R8,Reservation,22,61,479,61,79,2571.0
R9,Reservation,21,66,482,31,24,362.5
R10,Reservation,20,73,498,29,21,322.5
R11,Reservation,19,79,511,31,25,425.0
R12,Reservation,18,88,530,29,23,408.5
R13,Reservation,17,106,562,32,25,377.0
R14,Reservation,16,113,578,32,23,345.5
R15,Reservation,15,121,591,33,27,462.0
R16,Reservation,14,127,610,34,25,484.5
R17,Reservation,13,137,626,32,25,367.5
R18,Reservation,12,144,642,33,23,378.5
R19,Reservation,11,152,659,32,22,375.5
R20,Reservation,10,158,672,33,23,342.5
R21,Reservation,9,166,686,32,26,456.0
R22,Reservation,8,173,703,33,28,505.5
R23,Reservation,7,182,722,32,23,378.5
R24,Reservation,6,188,738,31,22,362.5
R25,Reservation,5,197,751,32,23,383.0
R26,Reservation,4,204,766,30,23,341.0
R27,Reservation,3,210,780,34,25,438.0
R28,Reservation,2,219,797,33,26,443.5
R29,Reservation,1,228,814,31,24,426.0
A1,Accessible,5,390,472,51,63,1297.0
A2,Accessible,4,396,478,35,33,705.0
A3,Accessible,3,410,513,62,79,2256.5
A4,Accessible,2,420,529,35,35,710.0
A5,Accessible,1,432,553,35,36,632.0
